gene_symbol	chimp1	chimp2	chimp3	chimp4	macaca1	macaca2	macaca3	macaca4
A1BG	126	157	67	52	8	66	90	172
A2M	32088	15061	31842	20768	5810	7373	7920	8133
A4GALT	1308	873	2019	924	2456	2092	4012	3697
AAAS	1185	971	829	1157	221	333	501	352
AACS	199	232	184	232	153	162	246	238
AADAC	486	109	61	38	8	89	93	271
AADAT	238	213	164	301	45	99	120	85
AAGAB	1099	677	1207	1089	912	1034	1592	1143
AAK1	663	860	653	499	1411	1537	2430	2613
AAMDC	2224	2499	4054	1788	898	1442	1511	1778
AAMP	2523	1858	2428	2249	1672	2053	2910	2289
AAR2	649	413	770	567	265	348	501	403
AARS1	3834	3343	3724	3692	1826	2064	3264	2392
AARS2	513	434	209	442	892	974	1450	1277
AASDH	225	177	197	341	203	276	436	275
AASDHPPT	2515	2356	2893	2389	1388	2098	2304	1891
AASS	495	982	2091	851	1686	1230	2950	2192
AATK	169	109	380	181	83	61	139	24
ABCA1	69	496	413	118	138	262	310	164
ABCA10	499	605	566	941	59	121	85	41
ABCA2	2151	2336	1938	2271	2450	1787	4467	2345
ABCA3	630	393	680	662	239	307	454	221
ABCA5	959	1026	881	870	120	272	237	204
ABCA6	1370	1339	2103	1063	328	517	718	486
ABCA7	478	238	195	370	642	240	816	413
ABCA8	4630	7043	6980	9788	2426	2747	3152	1927
ABCA9	2471	3010	3871	3249	221	624	608	260
ABCB1	363	74	114	342	161	255	229	144
ABCB4	168	87	190	98	114	169	232	164
ABCB6	1358	779	819	1353	1129	1611	2272	1422
ABCB7	1296	1381	1487	1123	648	814	1222	782
ABCB8	891	708	715	981	389	459	832	564
ABCB9	317	381	465	306	72	71	99	100
ABCC1	1023	717	898	767	338	416	773	469
ABCC10	1133	1044	834	1552	495	756	773	523
ABCC3	883	167	240	425	96	169	244	366
ABCC4	381	217	255	312	192	214	294	218
ABCC5	5492	6728	5243	6376	3774	6521	5620	6983
ABCC6	273	174	122	167	12	27	60	100
ABCC8	567	365	494	445	12	42	30	20
ABCC9	1290	3061	1617	2961	937	1576	1874	2055
ABCD1	224	155	232	173	339	311	508	371
ABCD3	2393	2079	2606	1772	2422	3313	2535	2162
ABCD4	1622	971	587	1582	567	777	948	732
ABCE1	613	575	656	659	641	677	990	795
ABCF1	3697	2415	3632	2986	2302	2457	3793	2650
ABCF2	1083	821	1140	1128	541	651	948	659
ABCF3	3080	3117	3127	2930	2171	2618	3832	2787
ABCG1	1437	666	933	329	41	127	98	114
ABCG2	911	468	504	925	935	1209	1430	1299
ABHD1	268	405	137	273	168	114	263	172
ABHD10	1618	1558	2175	1336	1444	1704	2280	1921
ABHD11	652	1018	698	842	501	610	825	632
ABHD12	1323	829	1196	1051	402	634	723	587
ABHD13	551	522	670	623	412	686	612	529
ABHD14A	429	418	543	426	340	466	494	367
ABHD14A-ACY1	1080	1085	1296	1031	1246	1344	2848	1382
ABHD14B	348	255	303	262	199	198	330	228
ABHD15	407	291	317	468	59	68	100	55
ABHD16A	1989	1573	1488	1843	1405	1874	2152	1962
ABHD17B	470	380	471	390	321	390	499	502
ABHD17C	220	220	143	273	454	584	1035	660
ABHD18	756	1132	838	899	890	902	1325	902
ABHD2	1023	778	1535	847	1285	886	1245	2449
ABHD3	365	121	175	258	329	699	525	512
ABHD4	690	361	516	489	612	586	1508	1227
ABHD5	1144	1058	1089	1379	406	521	814	596
ABHD6	283	287	352	196	68	85	201	116
ABHD8	311	328	280	387	276	348	481	328
ABI1	3426	1771	1628	2195	679	729	1136	991
ABI2	3451	3527	4423	3996	2034	2607	3395	2656
ABI3	274	138	145	224	107	45	111	132
ABI3BP	5268	2376	1286	6190	683	865	1219	851
ABITRAM	189	208	199	160	106	130	194	158
ABL1	3598	1909	2700	2455	814	984	1333	1032
ABL2	214	287	221	247	227	310	374	379
ABLIM1	31594	40565	47763	35762	33761	41935	64459	46286
ABLIM2	376	371	439	295	503	481	1067	1016
ABLIM3	11130	9257	12658	10140	4095	4024	6386	5083
ABO	285	245	248	509	43	31	69	45
ABR	2567	2073	2667	1724	2012	1792	3643	2546
ABRA	1442	1879	128	161	1233	1133	1389	3424
ABRACL	165	52	60	148	32	22	46	46
ABRAXAS2	943	669	1111	972	545	650	893	770
ABT1	114	86	129	124	117	179	262	160
ABTB1	1678	1384	1413	2101	350	335	719	389
ABTB2	451	612	649	550	876	798	2313	2045
ABTB3	148	39	54	198	11	5	16	10
ACAA1	3200	4217	3969	3131	1795	2241	3895	2515
ACAA2	1815	2474	2286	1639	1895	2214	2819	1955
ACACB	6507	8642	10354	4007	12076	12928	18352	11012
ACAD10	1011	654	404	838	497	583	689	491
ACAD11	5147	6191	6175	4246	1672	1172	2886	1898
ACAD8	318	477	333	432	792	862	1449	859
ACAD9	1547	1451	1754	1447	1281	1264	2374	1470
ACADM	18266	16859	13394	15672	15544	16760	25730	21910
ACADS	1884	2506	1898	1928	2692	3640	4652	3828
ACADSB	4715	4370	5463	3332	4144	5767	5498	6701
ACADVL	27609	29062	35704	18743	24817	30960	40650	26738
ACAP2	1741	1113	1384	1500	698	768	979	869
ACAP3	780	511	461	771	272	243	508	401
ACAT1	14135	15899	18404	12841	9025	7019	14953	9856
ACAT2	651	409	549	456	449	576	856	673
ACBD3	1875	1307	1805	1436	755	1008	1361	996
ACBD4	280	186	162	295	140	235	285	155
ACBD5	2943	2807	2768	2791	1586	1990	3009	1968
ACCS	363	287	421	367	90	121	339	179
ACD	391	154	115	249	39	56	93	52
ACE	2743	1288	453	1811	74	171	135	82
ACE2	262	133	142	337	101	14	40	36
ACER3	187	118	141	146	239	322	434	320
ACIN1	7555	4435	5309	6403	2800	3706	4685	3295
ACKR1	2170	77	178	601	28	52	67	25
ACKR3	1706	2195	4571	2757	1139	2536	2015	1473
ACKR4	358	452	427	301	117	82	188	118
ACLY	1401	959	812	1251	707	550	877	644
ACO1	3498	3740	4045	3424	2243	2784	4211	2869
ACO2	12664	12552	10353	9648	12614	15774	22865	17564
ACOT11	910	1679	813	1393	2780	2966	5181	3462
ACOT13	1979	1809	2798	1487	2757	3944	6373	3298
ACOT6	95	105	190	240	64	43	68	60
ACOT8	1033	713	728	966	425	422	710	508
ACOT9	3000	2461	2280	3248	961	1086	965	1217
ACOX1	967	1244	1162	1077	572	1014	1050	905
ACOX2	959	1024	702	1375	745	1050	985	666
ACP1	716	652	958	906	299	309	482	299
ACP2	1178	768	1015	1024	368	470	635	561
ACP5	1243	29	29	12	41	46	95	73
ACP6	1001	1437	1128	1062	1518	2114	2874	2161
ACRBP	221	150	171	321	1	1	2	1
ACSF2	2809	3232	2596	1454	136	311	503	446
ACSF3	254	301	277	190	84	122	149	106
ACSL1	17481	19630	16150	11045	10365	12685	16926	13213
ACSL3	2416	1773	2115	2131	743	723	994	1119
ACSL4	3102	3148	3184	3483	1363	1306	2164	2028
ACSL5	574	233	273	394	141	200	255	190
ACSL6	381	382	443	335	1012	552	1918	1081
ACSM3	272	259	240	186	204	575	247	208
ACSM5	122	163	153	74	84	52	77	69
ACSS1	6474	8650	3689	7441	11688	15835	28285	20847
ACSS2	5090	6015	4741	5354	5854	6744	8889	7126
ACSS3	1672	1392	796	1074	4465	4857	6430	6300
ACTA1	109468	151686	11808	184100	87132	42568	39089	49274
ACTA2	17509	7343	8799	8097	6750	8855	13111	8376
ACTB	28498	21543	23141	20616	13496	13007	19180	13636
ACTC1	307298	254994	521737	294985	180092	242930	375604	243309
ACTG1	2205	2071	1294	1620	333	484	430	396
ACTL6A	951	660	685	981	490	578	800	560
ACTMAP	456	293	214	388	93	178	229	144
ACTN1	10567	5399	5499	9537	2043	1884	1859	2399
ACTN2	122784	122488	134045	115864	84353	80126	122147	109175
ACTN4	6804	3052	6235	3783	1660	1436	2689	2592
ACTR10	2404	2091	2981	2407	1604	2142	2603	2037
ACTR1A	2095	1551	2039	2164	1132	968	1675	1260
ACTR1B	2181	2156	2678	2676	1721	919	1455	1991
ACTR2	302	297	386	304	318	361	416	418
ACTR3	5463	2950	3244	3796	3164	2220	4093	3260
ACTR3B	373	286	293	325	684	475	965	820
ACTR5	235	135	207	184	101	131	190	108
ACTR6	850	516	724	751	333	556	586	445
ACTR8	943	902	1203	864	697	570	1147	817
ACVR1	1446	1060	1360	1509	782	1424	1155	977
ACVR1B	899	587	1254	640	431	635	773	538
ACVR2A	640	561	649	590	454	635	763	457
ACVRL1	590	459	703	658	234	156	385	185
ACY1	1092	1096	1316	1045	1204	1305	2763	1332
ACYP1	755	754	627	847	51	71	116	42
ACYP2	1490	1679	1974	1822	1511	1443	2319	1737
ADA	482	145	373	214	99	195	316	303
ADA2	2102	510	557	491	17	8	31	13
ADAL	1820	1486	1489	1838	830	924	1571	1102
ADAM10	1272	1178	1095	1339	577	761	932	738
ADAM11	1041	1085	1673	738	22	57	46	74
ADAM15	3656	2619	3617	3950	2602	2841	4182	3605
ADAM17	672	602	548	658	408	484	710	455
ADAM19	1122	651	367	1637	193	117	197	292
ADAM23	5493	6058	4759	4139	517	736	1152	513
ADAM33	2079	1373	1104	1793	43	55	44	26
ADAM9	5583	5197	3525	5659	2285	2454	2935	1811
ADAMDEC1	1433	17	12	2	7	11	4	9
ADAMTS1	5824	15385	1885	3461	3704	3780	4561	4970
ADAMTS10	458	366	227	641	193	213	393	231
ADAMTS13	659	348	372	805	140	216	284	213
ADAMTS15	158	87	232	155	223	252	242	312
ADAMTS2	800	413	753	1665	282	172	310	283
ADAMTS4	257	494	33	140	12	23	15	58
ADAMTS7	196	233	372	132	255	389	531	289
ADAMTS8	144	82	82	281	49	50	86	156
ADAMTS9	3167	1821	715	2497	280	229	353	981
ADAMTSL1	246	233	389	453	175	114	493	762
ADAMTSL2	1426	371	156	1481	79	38	125	93
ADAMTSL3	1026	1144	1357	1575	322	257	429	350
ADAMTSL4	4323	4002	4180	5619	1440	1419	1415	1232
ADAMTSL5	494	649	682	734	978	709	1298	1085
ADAP1	322	200	103	214	82	28	91	68
ADAP2	289	103	215	238	49	20	49	36
ADAR	6894	5975	9628	6807	4189	4221	6368	3983
ADARB1	693	608	1005	890	148	214	257	244
ADAT1	132	80	100	128	44	59	102	55
ADAT2	327	155	456	243	72	67	163	56
ADCK1	501	571	714	519	323	328	710	432
ADCK2	402	344	275	420	337	495	617	378
ADCK5	238	134	170	187	514	1394	1056	561
ADCY3	1219	485	1025	872	93	95	181	124
ADCY4	4151	2953	3815	5405	698	848	1353	1214
ADCY5	10085	9084	11129	10302	6221	5784	8248	6465
ADCY6	6131	5536	9302	6332	6242	7484	8094	8261
ADCY7	435	171	189	400	170	101	185	185
ADCY9	1918	1462	2234	1585	933	1332	1626	1052
ADCYAP1R1	577	602	629	1048	378	366	1010	415
ADD1	7755	5615	8712	6529	3446	4055	6398	4056
ADD2	904	460	1848	493	62	17	72	39
ADD3	2911	4171	4152	4162	2221	2739	3402	2906
ADGRA2	3717	2176	2926	5308	800	686	1154	941
ADGRA3	1022	978	1229	1325	637	628	977	679
ADGRB2	174	227	347	173	45	29	27	45
ADGRB3	106	80	64	202	41	27	73	65
ADGRD1	735	1069	3009	429	67	53	110	117
ADGRE5	1589	916	1217	1325	726	664	1013	799
ADGRF5	1699	3268	3154	1959	1116	1014	1391	1403
ADGRG1	1062	514	1060	513	525	286	648	837
ADGRG6	253	169	282	220	101	137	166	460
ADGRL1	501	352	557	438	252	219	382	261
ADGRL2	3890	4400	4552	4548	2979	3389	3855	3210
ADGRL3	786	754	504	1077	105	182	218	40
ADGRL4	2577	1396	772	2099	1149	1584	1563	1683
ADH1A	740	83	102	9	0	1	0	1
ADH4	1698	458	155	109	40	334	430	1081
ADH5	2459	1916	3079	2255	1448	1408	2333	2229
ADH6	417	193	45	26	18	107	161	335
ADHFE1	3754	5073	1949	2896	964	1271	1691	1428
ADI1	4024	4661	6795	4243	834	906	1806	954
ADIPOR1	2624	1863	3204	1918	2788	2982	3754	2732
ADIPOR2	3596	2409	4728	2558	1198	2988	2472	1747
ADIRF	1148	737	1143	1000	1129	716	950	683
ADISSP	137	144	186	126	59	59	129	85
ADK	1160	913	1372	866	292	404	602	378
ADM	2774	927	868	679	180	314	381	263
ADNP	2643	1875	2258	2365	2086	2848	3391	2515
ADNP2	777	571	898	640	366	444	748	469
ADORA1	100	157	243	179	178	143	263	178
ADORA2A	242	211	151	357	169	134	250	147
ADPGK	610	299	302	399	138	131	210	173
ADPRH	848	525	867	632	281	333	566	404
ADPRHL1	973	1758	4697	726	570	1403	1251	898
ADPRS	1053	880	958	933	457	538	864	646
ADRA1A	474	734	912	605	273	473	534	360
ADRA2A	428	13	30	128	18	4	43	9
ADRB1	241	699	600	523	400	538	537	433
ADRB2	354	305	218	254	139	209	167	190
ADRM1	2271	2340	3571	2323	1752	1668	2772	2203
ADSL	1691	1789	1706	1847	447	540	809	508
ADSS1	4784	5550	8720	3767	3759	4829	6951	5413
ADSS2	356	208	258	251	96	85	132	124
AEBP1	17437	6136	885	14092	740	638	1007	679
AEBP2	1341	986	1156	950	466	682	822	631
AEN	215	131	83	153	33	35	68	55
AFAP1	204	214	137	288	95	84	159	74
AFAP1L1	2578	3489	2938	4017	1670	1874	2386	1945
AFAP1L2	445	454	544	456	195	222	296	323
AFDN	2589	3098	4166	2565	2120	2185	3489	2514
AFF1	3867	3479	5162	4405	1435	2245	2419	1982
AFF3	304	180	267	466	154	166	249	241
AFF4	4008	2693	3485	3253	1898	2387	2884	4551
AFG2B	226	157	221	285	143	235	232	218
AFG3L2	4167	4043	5199	4230	1953	2734	3418	2789
AFM	816	168	73	35	16	155	171	555
AFMID	367	197	244	357	23	40	53	75
AFTPH	1443	833	1304	1041	641	909	1025	765
AGA	207	99	254	171	179	415	449	217
AGAP1	434	364	738	425	251	321	389	287
AGAP2	769	1822	3114	1176	147	77	254	174
AGAP3	2796	1872	1443	2425	842	1098	1747	1164
AGBL5	1652	1247	1780	1581	812	867	1286	890
AGER	544	267	344	477	118	245	379	209
AGFG1	2043	1844	2103	2071	1950	2198	3186	2729
AGGF1	491	507	460	471	407	492	714	530
AGK	1087	864	1246	1180	673	796	1061	1013
AGL	5381	8570	5716	6105	6157	5269	12309	8900
AGO1	1102	982	1204	1014	934	1379	1699	1274
AGO2	338	300	232	322	213	251	429	527
AGO3	188	150	97	140	49	65	97	95
AGO4	1461	1442	1875	1838	1442	2017	2389	1615
AGPAT1	2392	1515	1281	2266	1842	2278	3112	2396
AGPAT2	429	559	468	489	228	374	499	279
AGPAT3	3425	2888	3387	2747	3998	4169	6669	4596
AGPAT5	530	411	392	599	348	369	634	409
AGPS	1611	1081	1340	1603	1222	1499	1781	1172
AGRN	212	263	159	497	422	368	561	448
AGT	2851	2759	2806	3217	285	317	602	423
AGTPBP1	928	893	1867	663	2674	2849	4193	2487
AGTR1	425	91	240	93	71	102	114	112
AGTRAP	550	376	287	686	327	450	427	395
AHCY	1105	1098	1040	1183	375	397	731	481
AHCYL1	4433	3427	3770	4116	3637	4019	5559	4079
AHCYL2	1158	1061	2440	1198	1279	2238	2084	1409
AHDC1	1876	1282	2935	1507	991	1211	1813	1986
AHI1	351	306	526	420	123	280	698	259
AHNAK	4476	2630	5356	4230	1917	3272	3645	2899
AHNAK2	419	92	67	484	308	467	478	385
AHR	445	465	378	571	168	247	264	153
AHSA1	4992	3839	3380	4695	2350	2728	3780	3392
AHSG	1005	656	203	86	38	432	693	1687
AIF1	886	145	590	345	122	93	133	81
AIF1L	421	385	1024	313	275	263	439	246
AIFM1	5533	6718	4893	4710	5222	6355	9896	5964
AIFM2	881	732	866	817	710	471	1127	643
AIFM3	522	203	181	563	18	37	39	17
AIG1	1354	1343	1234	1122	1215	1537	2348	1658
AIMP1	1449	1262	1770	1526	810	1172	1602	1121
AIMP2	186	175	350	211	66	94	171	96
AIP	1575	1427	1001	1509	1224	1547	2016	1856
AIRIM	335	188	236	313	337	353	503	379
AJUBA	291	174	315	233	177	143	306	233
AK1	8522	11198	15623	6586	6046	5288	9822	6706
AK2	2506	2265	3065	2914	1453	1851	2228	2072
AK3	5783	5861	8936	4963	5842	8860	10728	7752
AK9	132	182	262	117	14	8	26	30
AKAP1	7662	7531	7490	5581	8343	9706	15973	10835
AKAP10	827	571	643	744	365	425	604	429
AKAP12	3286	2288	2113	3009	1449	1446	1974	1234
AKAP13	13992	11779	16632	14242	4956	8227	7112	11142
AKAP3	120	90	117	144	29	41	79	33
AKAP6	3998	6431	4956	5994	3913	5666	5771	7059
AKAP7	414	189	807	234	255	258	490	371
AKAP8	566	394	907	351	282	286	533	302
AKAP8L	2189	1703	3164	1809	969	1328	1727	1470
AKAP9	2169	2753	3422	3135	1541	4019	2891	1894
AKIP1	223	161	228	252	205	244	394	225
AKIRIN2	422	271	234	338	147	220	402	329
AKNA	980	294	453	517	148	92	298	135
AKR1B1	4697	4520	2315	3863	6012	5917	11698	8920
AKR1C3	773	449	507	876	62	106	100	108
AKR1E2	168	132	83	192	90	7	99	51
AKR7A2	544	521	446	469	289	461	664	461
AKT1	4574	4240	4823	4563	2817	2836	4025	3196
AKT1S1	664	682	806	713	737	562	806	831
AKT2	2688	2239	2995	2286	1349	1543	2226	1715
AKT3	1098	1074	700	1310	585	561	863	705
AKTIP	2019	2170	2830	1870	796	895	1466	967
ALAD	7518	8814	9127	5079	1650	1693	2360	1463
ALAS1	5160	6055	8431	5169	6372	4192	6391	6055
ALB	134947	36057	19244	9085	6763	33329	38645	90745
ALCAM	2101	745	3880	1214	139	212	355	273
ALDH18A1	1256	862	604	1545	1711	1467	2189	1491
ALDH1A1	5998	3179	2796	1905	807	1965	1769	2084
ALDH1A2	731	465	611	589	194	201	260	226
ALDH1A3	183	74	74	328	603	766	1275	1296
ALDH1B1	1514	1866	1435	1458	448	605	711	757
ALDH1L1	1715	1816	1844	1173	2065	3447	3756	3687
ALDH1L2	365	171	303	465	50	51	98	51
ALDH2	14699	12264	13105	7847	9952	14283	15003	14424
ALDH3A2	2039	1419	886	2508	1608	1730	3112	2093
ALDH4A1	773	752	501	713	737	583	1137	773
ALDH5A1	1093	1689	1633	1160	936	1407	1373	1599
ALDH6A1	1823	1745	1277	1389	2072	3741	3717	3058
ALDH7A1	232	176	141	213	56	82	86	64
ALDH9A1	2188	1903	2178	1804	860	1627	1782	1282
ALDOA	13928	15495	20686	13509	6310	6934	11151	7875
ALDOB	7838	1866	1888	1149	217	2007	2777	4735
ALDOC	6569	4708	7770	4378	14203	23583	30279	18782
ALG11	258	490	455	478	250	428	460	390
ALG12	482	397	421	588	227	274	321	294
ALG13	789	547	535	808	442	768	799	733
ALG14	80	102	177	119	80	96	175	56
ALG3	584	360	506	587	326	400	667	433
ALG5	646	441	949	637	247	269	391	246
ALG6	310	260	217	365	189	223	342	209
ALG8	718	528	553	735	214	309	407	282
ALG9	330	321	386	437	198	147	240	169
ALKBH1	594	613	666	517	115	149	243	179
ALKBH2	189	162	205	242	271	250	391	226
ALKBH3	392	252	662	313	183	244	392	295
ALKBH4	202	125	181	156	99	144	210	136
ALKBH5	3332	2823	3618	3088	3477	3946	6181	4832
ALKBH6	227	176	178	202	101	87	130	87
ALKBH7	530	774	741	578	348	394	610	498
ALKBH8	559	511	976	551	252	314	569	400
ALMS1	309	315	258	395	125	151	253	197
ALOX5	213	59	611	129	57	28	73	52
ALOX5AP	309	52	440	124	64	45	78	71
ALPK1	288	130	292	272	319	389	712	369
ALPK2	1157	1920	1969	1193	2060	1595	3284	2098
ALPK3	19840	15598	23180	14746	10307	13824	18143	19435
ALPL	182	101	191	128	135	180	271	270
ALS2	1828	1662	1414	2179	640	1191	1308	964
ALS2CL	1471	1762	2360	1686	578	394	860	351
ALYREF	924	640	861	816	398	489	675	514
AMACR	163	185	157	169	362	450	658	492
AMBP	2788	1378	610	321	157	1091	1301	3284
AMBRA1	706	462	568	537	415	472	742	514
AMD1	1713	1323	2771	1135	1739	2120	2520	3081
AMDHD2	429	212	311	263	112	141	259	165
AMER1	413	440	968	463	106	119	182	134
AMFR	3988	3402	5046	3345	2009	2549	3184	2636
AMIGO1	454	573	522	486	374	619	732	563
AMIGO2	327	220	211	258	144	160	213	89
AMIGO3	1202	721	828	1102	641	630	1082	758
AMMECR1L	1103	720	775	879	465	473	786	630
AMN1	332	211	342	207	309	350	664	367
AMOTL1	2532	3011	1948	4126	7754	3527	9311	6521
AMOTL2	3506	1707	5165	1992	1447	1891	2150	1584
AMPD2	803	513	659	760	381	612	749	551
AMPD3	273	86	107	175	43	46	78	40
AMPH	798	675	384	565	19	7	30	15
AMT	1007	889	692	989	1289	1720	2720	1848
AMY2B	817	824	1484	1036	378	667	684	666
AMZ2	520	501	511	567	299	242	470	350
ANAPC10	180	168	174	208	251	197	368	228
ANAPC11	123	193	191	181	295	311	500	385
ANAPC13	1809	1471	2029	1818	1637	2348	3343	2255
ANAPC16	3270	4236	4096	3516	1564	2385	2957	2152
ANAPC2	916	775	918	791	617	727	1086	889
ANAPC4	1288	967	1180	1244	1070	1573	1761	1152
ANAPC5	3410	3095	3255	3891	1199	1681	2374	1890
ANAPC7	1827	1117	1643	1674	1192	1633	2007	1427
ANG	277	110	132	116	65	94	154	125
ANGEL1	1576	1044	1167	1616	1102	1357	1924	1227
ANGEL2	272	299	316	400	326	379	630	404
ANGPT1	198	181	450	164	77	151	133	171
ANGPT2	669	118	43	175	69	112	120	131
ANGPTL1	435	125	53	610	27	34	47	34
ANGPTL2	1872	1372	1266	1570	514	387	741	347
ANGPTL3	610	147	44	19	18	110	131	243
ANGPTL5	295	83	64	228	8	2	15	1
ANGPTL7	269	247	320	556	1002	834	410	334
ANK1	4522	4278	3960	2434	10318	9383	20450	7839
ANK2	5365	7610	8080	5939	5279	8309	9740	6881
ANK3	6344	8254	5824	7626	6238	9266	9095	12399
ANKAR	115	106	123	117	40	71	88	37
ANKDD1A	117	91	145	141	14	1	17	7
ANKFY1	2268	1755	2287	2496	1093	1644	1770	1512
ANKH	3526	3649	3797	2946	2256	2656	4169	3156
ANKHD1	3926	3895	4951	4025	2267	3009	4302	3510
ANKHD1-EIF4EBP3	3409	3480	4428	3574	1986	2682	3831	3062
ANKIB1	1117	963	995	1376	969	1156	1610	1152
ANKLE2	1001	796	1185	795	549	615	927	752
ANKMY1	192	145	128	143	47	44	68	63
ANKMY2	1747	1498	2592	1518	1941	2745	3019	2330
ANKRA2	608	579	678	600	329	422	536	462
ANKRD1	147784	77758	13411	152461	34390	25278	90048	76085
ANKRD10	3829	2748	4719	4573	1183	1523	1947	1499
ANKRD11	1525	1094	1907	1247	983	1532	1785	1589
ANKRD12	1303	768	1488	1206	617	724	933	913
ANKRD13A	1700	1271	1931	1648	741	918	1248	1064
ANKRD13B	249	95	88	278	107	106	139	137
ANKRD13C	778	509	978	624	396	504	612	471
ANKRD13D	1160	721	570	1082	196	185	293	232
ANKRD17	4137	3782	4645	4347	2512	3096	4730	3751
ANKRD2	301	1193	197	3265	569	88	142	110
ANKRD23	251	288	240	243	119	74	111	80
ANKRD26	410	530	547	601	382	634	753	415
ANKRD27	604	588	689	588	309	295	502	320
ANKRD28	1434	1199	3095	1362	300	444	617	394
ANKRD29	1649	1362	1127	2684	212	436	398	284
ANKRD39	122	190	190	120	102	143	141	122
ANKRD40	5777	4631	7990	4869	3637	4272	5830	4627
ANKRD42	208	185	130	160	306	388	859	383
ANKRD44	119	173	127	180	70	89	96	94
ANKRD46	1695	1413	1585	1307	670	751	1151	778
ANKRD49	438	183	389	372	108	138	153	134
ANKRD50	645	741	526	1028	385	522	531	530
ANKRD52	1035	669	1243	722	774	939	1135	964
ANKRD54	412	316	405	433	464	374	663	489
ANKRD6	295	297	343	344	47	16	129	74
ANKRD9	189	163	381	136	41	10	39	27
ANKS1A	2894	2297	3180	2382	1398	1307	1945	2348
ANKS1B	201	136	75	208	89	80	118	99
ANKS3	408	220	314	352	121	114	148	162
ANKS6	318	238	255	307	103	116	171	98
ANKUB1	128	97	145	88	96	114	127	101
ANKZF1	1712	1434	1480	1603	1387	2223	2955	1837
ANLN	73	57	66	310	39	31	66	25
ANO1	1019	1074	1174	1371	395	257	660	432
ANO10	641	524	476	707	377	597	702	490
ANO5	2431	3052	3103	2243	147	596	1091	215
ANO6	4300	3982	3631	5834	1776	2046	2381	2061
ANO8	426	320	303	444	341	355	496	345
ANP32A	2323	1679	2104	2351	2191	2306	2990	2317
ANP32B	1964	908	1769	1361	644	921	1171	793
ANPEP	627	238	318	229	53	190	403	450
ANTXR1	844	880	561	1475	299	597	603	397
ANTXR2	4573	4137	3433	5669	1272	2178	2257	1438
ANXA1	5904	2231	3221	5045	1580	900	1809	1118
ANXA11	9290	8771	10406	7927	7677	6562	12856	7616
ANXA3	1055	916	1473	763	870	885	1526	1084
ANXA4	2374	631	925	1755	417	754	765	417
ANXA5	10684	6034	6545	12144	2756	2809	4875	2599
ANXA6	13215	10731	11779	13355	7629	6815	11389	7302
ANXA7	7731	6773	9895	6823	2626	3984	5457	3611
ANXA9	123	85	161	96	20	27	25	17
AOAH	617	57	486	139	22	9	25	10
AOC1	1245	236	182	60	50	347	872	1646
AOC3	6703	3322	3124	5827	592	216	722	302
AOPEP	1786	1470	1584	2288	2482	2077	2792	2413
AOX1	3921	1483	1841	1293	524	1274	1436	2286
AP1AR	140	95	179	121	347	297	593	445
AP1B1	2332	1253	1732	1323	2007	1801	3273	2292
AP1G1	2162	1567	2680	2309	1377	1662	1919	1733
AP1G2	1432	753	737	1264	306	420	443	337
AP1M1	964	615	670	833	581	668	724	631
AP1S1	142	112	89	172	61	81	77	79
AP2A1	1775	1561	1864	1639	1056	1221	1715	1361
AP2A2	2073	1243	1322	1698	970	1171	1727	1162
AP2B1	3873	2764	3620	3626	672	828	1208	810
AP2M1	14460	11703	13113	13615	6767	7124	11847	8992
AP2S1	992	706	714	808	711	600	1078	886
AP3B1	1125	761	993	1029	611	939	1208	869
AP3D1	2801	2164	2511	2093	1746	1935	2789	2530
AP3M1	2290	1753	1725	2220	1075	1245	1734	1336
AP3M2	980	827	476	1028	359	473	623	206
AP3S2	4128	3317	5382	4000	1304	1406	1874	1477
AP4B1	830	861	965	973	812	738	1301	743
AP4E1	614	621	498	795	314	503	521	477
AP4M1	329	195	176	393	400	407	602	393
AP5B1	420	241	444	257	283	345	575	421
AP5M1	1222	1253	1495	1408	1309	1386	2172	1433
AP5S1	103	113	107	91	130	170	257	185
AP5Z1	399	207	375	293	289	298	530	278
APAF1	494	444	311	658	369	370	476	395
APBA3	447	373	368	467	126	140	298	188
APBB1	1757	1491	835	1926	1024	1260	2039	1195
APBB1IP	371	90	276	216	125	73	170	55
APBB2	1519	1632	1092	1821	1704	2423	3136	1962
APBB3	1846	1265	1089	1706	374	424	609	473
APC	1327	1618	1648	1969	952	1084	1715	1076
APC2	101	88	59	165	59	20	102	73
APCDD1	1600	2334	2505	3431	463	308	742	791
APCDD1L	126	156	19	192	13	9	5	10
APCS	548	293	164	107	21	198	220	550
APEH	2532	2778	2599	2239	1478	1843	2667	1913
APEX1	2019	1737	2679	2067	1036	1242	1945	1344
APEX2	119	106	138	121	58	54	116	82
APH1A	3935	2435	5231	3243	2220	2577	3938	2924
APH1B	407	341	366	413	562	915	1190	602
API5	163	155	139	147	161	206	257	192
APIP	181	178	274	226	162	187	249	244
APLN	1011	1748	1820	920	549	778	1034	822
APLP1	367	332	105	469	77	94	152	136
APLP2	33988	24946	31911	33136	11454	12895	16312	16817
APMAP	2552	2247	2557	2089	1410	2003	2011	2482
APOA1	2860	5113	1749	2134	390	972	1389	1756
APOA2	8017	1509	583	263	196	1469	2311	5873
APOA5	205	183	73	20	7	82	136	221
APOB	6455	2713	1491	869	292	2130	2073	5276
APOBEC2	1985	2744	3620	3061	4835	4677	6594	4202
APOBEC3C	354	193	215	289	73	36	101	78
