gene_symbol	chimp1	chimp2	chimp3	chimp4	macaca1	macaca2	macaca3	macaca4
LY96	411	72	62	153	26	29	27	32
LYAR	600	352	293	354	316	294	528	402
LYN	822	324	1008	490	186	159	409	227
LYNX1	383	437	337	311	1296	1483	2209	1687
LYPLA1	107	124	180	103	633	523	1106	617
LYPLA2	508	399	446	461	241	216	379	256
LYPLAL1	1599	1354	1482	1387	180	244	339	294
LYRM1	354	477	993	437	254	391	470	259
LYRM2	181	245	241	119	128	139	248	138
LYRM4	423	349	407	485	285	212	353	311
LYRM7	142	226	193	279	106	119	192	89
LYRM9	505	340	1095	446	692	888	1405	891
LYSMD1	670	562	421	584	368	481	671	423
LYSMD2	132	85	104	116	14	15	27	25
LYSMD3	238	290	409	321	139	200	224	233
LYSMD4	2187	1601	2672	2093	1084	1385	1605	1105
LYST	988	736	740	971	410	624	626	502
LYVE1	909	558	1453	454	481	273	573	444
LYZ	3897	134	325	416	198	190	289	173
LZIC	811	651	1088	960	479	704	907	564
LZTFL1	548	399	558	709	536	904	1158	967
LZTR1	2471	1485	1485	2600	901	928	1445	1081
LZTS2	1980	1750	2635	2329	1437	1533	2388	1811
LZTS3	509	448	599	511	189	229	333	367
M6PR	5518	4026	5629	4434	4279	6425	8592	5418
MACF1	13041	16349	14564	20504	12861	14781	18363	15663
MACIR	380	198	273	353	197	265	361	370
MACROD1	1338	2035	1662	1460	2290	2465	4348	3326
MACROD2	135	196	406	126	77	127	173	98
MACROH2A1	4276	3208	4751	3578	2591	2923	4281	3309
MACROH2A2	654	548	802	786	292	285	515	295
MAD1L1	468	211	312	273	80	146	158	136
MAD2L1BP	334	292	281	351	552	507	1007	613
MAD2L2	565	530	811	531	522	466	710	570
MADD	1926	1591	1618	1713	757	627	1331	666
MAEA	1897	1447	1900	1810	1054	1019	1912	1547
MAEL	94	64	248	55	14	30	4	19
MAF1	4047	3786	4034	4151	2948	3700	4907	4091
MAFF	831	929	208	216	97	131	144	365
MAGED1	2857	2425	3236	2826	1452	1604	2514	1703
MAGED2	5518	4832	6097	6043	4822	5079	7507	6675
MAGEF1	829	760	1161	893	341	387	618	338
MAGI1	590	733	802	736	369	304	473	423
MAGI3	506	366	357	515	525	815	932	1000
MAGOH	422	276	352	414	271	301	410	290
MAGOHB	181	156	99	207	138	137	163	147
MAGT1	2642	2101	2725	2555	1105	1468	1844	1605
MAIP1	866	942	937	869	639	809	1057	883
MAK16	197	161	194	165	96	142	192	133
MALSU1	1102	1389	1345	1186	838	1053	1651	1133
MALT1	371	323	518	323	217	161	354	300
MAMDC2	1287	1519	2020	1935	367	416	571	388
MAMDC4	197	142	40	254	79	52	95	62
MAML1	1156	850	1369	970	492	562	642	540
MAML2	559	376	351	493	235	210	291	186
MAML3	209	96	246	153	81	95	130	99
MAMLD1	176	170	162	189	78	100	103	169
MAN1A1	302	289	359	390	168	264	289	311
MAN1A2	1046	919	1055	1502	560	697	956	945
MAN1B1	1835	1645	2443	1733	565	647	848	659
MAN1C1	974	579	841	767	272	326	452	340
MAN2A1	1209	612	745	893	617	731	1148	897
MAN2B1	2082	622	1336	973	398	497	775	530
MAN2B2	454	239	325	362	118	103	241	167
MAN2C1	4688	3976	5434	4640	1435	2131	2898	2475
MANBA	549	393	823	354	297	610	458	170
MANBAL	264	177	255	295	188	180	290	164
MANEA	571	590	617	473	367	442	819	497
MANF	2168	1130	1329	2646	768	1025	1194	1497
MANSC1	395	341	441	473	479	640	788	609
MAOA	4226	7198	9012	4229	2715	3026	3801	3555
MAOB	8404	7556	10927	7448	230	501	792	1148
MAP1A	9048	4515	9464	7292	2041	1062	3227	2310
MAP1B	7052	2973	2348	11101	3059	1374	2865	2169
