Sample	Ct GAPDH	Ct PPARg
Contr Ad d7 N1	20.4458198547363	28.2217597961426
Contr Ad d7 N2	20.4875545501709	27.9639587402344
Contr Ad d7 N3	20.6280155181885	28.2946605682373
Contr Ad d7 N4	20.9619407653809	28.1222019195557
V7 Ad d7 N1	20.7380886077881	30.2141933441162
V7 Ad d7 N2	20.3285236358643	29.7714977264404
V7 Ad d7 N3	20.7146301269531	29.6928424835205
V7 Ad d7 N4	20.5479221343994	29.4649028778076
